movie_id,companies
862,Pixar Animation Studios
8844,TriStar Pictures
8844,Teitler Film
8844,Interscope Communications
15602,Warner Bros.
15602,Lancaster Gate
31357,Twentieth Century Fox Film Corporation
11862,Sandollar Productions
11862,Touchstone Pictures
949,Regency Enterprises
949,Forward Pass
949,Warner Bros.
11860,Paramount Pictures
11860,Scott Rudin Productions
11860,Mirage Enterprises
11860,Sandollar Productions
11860,Constellation Entertainment
11860,Worldwide
11860,Mont Blanc Entertainment GmbH
45325,Walt Disney Pictures
9091,Universal Pictures
9091,Imperial Entertainment
9091,Signature Entertainment
710,United Artists
710,Eon Productions
9087,Columbia Pictures
9087,Castle Rock Entertainment
12110,Columbia Pictures
12110,Castle Rock Entertainment
12110,Enigma Pictures
21032,Universal Pictures
21032,Amblin Entertainment
21032,Amblimation
10858,Hollywood Pictures
10858,Cinergi Pictures Entertainment
1408,Le Studio Canal+
1408,Laurence Mark Productions
1408,Metro-Goldwyn-Mayer (MGM)
1408,Carolco Pictures
524,Universal Pictures
524,Légende Entreprises
524,Syalis DA
524,De Fina-Cappa
4584,Columbia Pictures Corporation
4584,Mirage Enterprises
5,Miramax Films
5,A Band Apart
9273,O Entertainment
9273,Warner Bros.
9273,Morgan Creek Productions
11517,Columbia Pictures
8012,Jersey Films
8012,Metro-Goldwyn-Mayer (MGM)
1710,Regency Enterprises
1710,New Regency Pictures
9691,Silver Pictures
9691,Canal+
9691,Warner Bros.
9691,Dino De Laurentiis Company
9691,Donner/Shuler-Donner Productions
9691,Evansgideon/Lazar
12665,Caravan Pictures
12665,Hollywood Pictures
451,United Artists
451,Intial Productions
16420,Columbia Pictures
16420,Castle Rock Entertainment
9263,New Line Cinema
17015,BBC Films
902,Procirep
902,Constellation Productions
902,France 3 Cinéma
902,Claudie Ossard Productions
902,Eurimages
902,MEDIA Programme of the European Union
902,Cofimage 5
902,Televisión Española (TVE)
902,Tele München Fernseh Produktionsgesellschaft (TMG)
902,Club d'Investissement Média
902,Canal+ España
902,Elías Querejeta Producciones Cinematográficas S.L.
902,Centre National de la Cinématographie (CNC)
902,Victoires Productions
902,Constellation
902,Lumière Pictures
902,Canal+
902,Studio Image
902,Cofimage 4
902,Ossane
902,Phoenix Images
37557,Ministère des Affaires Étrangères
37557,Alpha Films
37557,La Sept Cinéma
9909,Hollywood Pictures
9909,Via Rosa Productions
9909,Don Simpson/Jerry Bruckheimer Films
63,Universal Pictures
63,Atlas Entertainment
63,Classico
78802,Iwerks Entertainment
9598,Universal Pictures
9598,Kennedy Miller Productions
47018,StudioCanal
47018,Cinéa
47018,Euston Films
47018,Freeway Films
47018,European Co-production Fund
47018,Polygram Filmed Entertainment
47018,Orsans Productions
687,Havoc
687,PolyGram Filmed Entertainment
687,Working Title Films
139405,Sony New Technologies
33689,Dualstar Productions
33689,Warner Bros.
33689,Rysher Entertainment
33689,Orr & Cruickshank
9603,Paramount Pictures
34615,Miramax
34615,Distant Horizon
34615,Alpine Pty Limited
31174,British Screen
31174,Mayfair Entertainment International
11443,Caravan Pictures
11443,Underworld Entertainment
11443,Hollywood Pictures
35196,Miramax Films
9312,New Line Cinema
9312,Threshold Entertainment
577,The Rank Organisation
577,Columbia Pictures Corporation
11861,Universal Pictures
11861,Amblin Entertainment
807,New Line Cinema
807,Juno Pix
807,Cecchi Gori Pictures
10530,Walt Disney Pictures
10530,Walt Disney Feature Animation
8391,Alliance Communications Corporation
629,Blue Parrot Productions
629,Bad Hat Harry Productions
11448,Miramax Films
11448,Magnolia Pictures
26441,Walt Disney Pictures
26441,Caravan Pictures
97406,Miramax Films
97406,CiBy 2000
124057,Telefilm Canada
124057,Melenny Productions
9089,Paramount Pictures
9089,Egg Pictures
9089,PolyGram Filmed Entertainment
11359,Paramount Pictures
11359,Columbia Pictures Corporation
11359,The Kennedy/Marshall Company
17182,Paramount Pictures
2054,Hollywood Pictures
2054,The Charlie Mopic Company
2054,PolyGram Filmed Entertainment
2054,Interscope Communications
10607,Miramax Films
10607,Island Pictures
10607,Ivory Way Productions
19760,Warner Bros.
19760,Morgan Creek Productions
9536,Metro-Goldwyn-Mayer (MGM)
9536,Motion Picture Corporation of America (MPCA)
9536,3 Arts Entertainment
9536,Weasel Productions
11525,New Line Cinema
40628,Miramax Films
4482,Renn Productions
4482,Les Films Flam
4482,TF1 Films Production
4482,Canal+
10634,New Line Cinema
755,A Band Apart
755,Dimension Films
755,Los Hooligans Productions
755,Miramax
11859,Silver Pictures
11859,Warner Bros.
28387,Castleberg Productions
28387,Sandollar Productions
48750,Les Films 13
48750,Canal+
48750,TF1
20927,New Line Cinema
20927,Juno Pix
36929,Warner Bros.
36929,Morgan Creek Productions
9102,The Movie Network (TMN)
9102,Allegro Films
9102,Fuji Eight Company Ltd.
9102,Fries Film Group
9102,Super Ecran
9102,Triumph Films
124626,Zweites Deutsches Fernsehen (ZDF)
124626,Ciak Filmproduktion
124626,Bluehorse Films
27526,Miramax Films
9623,Columbia Pictures Corporation
46785,I.R.I.B. Channel 2
46785,Ferdos Films
400,Miramax Films
880,Bergen Film
880,Bard Entertainments
880,NPS Televisie
146599,BET Pictures
146599,United Image Entertainme
8447,Playhouse International Pictures
8447,The Samuel Goldwyn Company
10534,Hollywood Pictures
10534,Largo Entertainment
10534,Scott Free Productions
17414,Twentieth Century Fox Film Corporation
17414,Joe Wizan/Todd Black
13997,Paramount Pictures
2086,Paramount Pictures
61548,Miramax Films
61548,Addis Wechsler Pictures
9095,TriStar Pictures
9095,NFH Productions
12158,Paramount Pictures
9283,Miramax Films
9283,Woods Entertainment
9208,Twentieth Century Fox Film Corporation
9208,WCG Entertainment Productions
9208,Mark Gordon Productions
40154,Castle Rock Entertainment
40154,Midwinter Films
406,Egg Pictures
406,PolyGram Filmed Entertainment
406,Canal+
406,Les Productions Lazennec
406,La Sept Cinéma
406,Kasso Inc. Productions
406,Studio Image
406,Cofinergie 6
45549,Channel Four Films
63076,British Broadcasting Corporation (BBC)
63076,Westdeutscher Rundfunk (WDR)
63076,Canadian Broadcasting Corporation (CBC)
63076,Cinemax Reel Life
63076,InPictures
63076,Lafayette Films
11062,Columbia Pictures
11062,Castle Rock Entertainment
13685,Gracie Films
13685,Columbia Pictures Corporation
47475,Touchstone Pictures
2045,Metro-Goldwyn-Mayer (MGM)
2045,Dino De Laurentiis Company
2045,Spelling Films
9614,Universal Pictures
9614,Brillstein-Grey Entertainment
9614,Robert Simonds Productions
688,Amblin Entertainment
688,Malpaso Productions
688,Warner Bros.
10874,Walt Disney Pictures
10874,Jim Henson Productions
10874,"Jim Henson Company, The"
197,Icon Entertainment International
197,The Ladd Company
197,B.H. Finance C.V.
103,Columbia Pictures Corporation
103,Italo/Judeo Productions
103,Bill/Phillips
33542,New Line Cinema
33542,Golden Harvest Company
43566,Caravan Pictures
43566,Hollywood Pictures
71754,Téléfilm Canada
71754,Skyline Films
71754,Malofilm
71754,Société de Développement des Entreprises Culturelles (SODEC)
71754,British Screen Productions
71754,National Film Board of Canada (NFB)
71754,imX Communications
71754,Glace Bay Pictures
71754,Ciné Télé Action
71754,Nova Scotia Film Development Corporation
71754,Ranfilm
43612,France 2 Cinéma
43612,France 3 Cinéma
43612,StudioCanal
43612,Les Productions du Champ Poirier
43612,Téléma Productions
16934,Bavaria Film and Television Fund
10324,TriStar Pictures
10324,Motion Picture Corporation of America (MPCA)
78406,Savoy Pictures
55731,TriStar Pictures
11066,Paramount Pictures
11104,Jet Tone Production
11104,The Criterion Collection
37975,Cecchi Gori Group Tiger Cinematografica
2074,Miramax Films
27793,Studio Babelsberg
27793,Dieter Geissler Filmproduktion
27793,Cinevox Filmproduktion GmbH
27793,Warner Bros.
27793,Miramax
44284,Canal Horizons
44284,Mat Films
44284,Cinétéléfilms
73067,Fine Line Features
73067,Channel Four Films
73067,Bórd Scannán na hÉireann
73067,Canal+
11863,Paramount Pictures
55475,Cigua Films
55475,D'Pelicula
9101,Twentieth Century Fox Film Corporation
123360,Couch Potatoe Productions
39428,Channel Four Films
39428,Academy
39428,Mayfair Films
39428,Iberoamerica Films
9302,Cinergi Pictures Entertainment
9302,Touchstone Pictures
11000,United Artists
16388,Fox Searchlight Pictures
9737,Columbia Pictures
9737,Don Simpson/Jerry Bruckheimer Films
30765,Warner Bros.
10474,New Line Cinema
10474,Island Pictures
22279,Fine Line Features
22279,BBC
22279,British Screen Productions
22279,Portman Productions
30157,Channel Four Films
30157,Zenith Entertainment
30157,American Playhouse
30157,Union Générale Cinématographique (UGC)
30157,La Sept Cinéma
30157,True Fiction Pictures
568,Imagine Entertainment
568,Universal Pictures
11780,United Artists
11780,Talisman Productions
34996,October Films
34996,Guild
34996,Fastnet Films
414,Warner Bros.
414,Polygram Filmed Entertainment
649,Paris Films Productions
649,Five Films
649,Robert et Raymond Hakim
1873,Columbia Pictures
1873,Castle Rock Entertainment
5894,Miramax Films
5894,InterAL
1775,PolyGram Filmed Entertainment
8839,Universal Pictures
8839,Amblin Entertainment
8839,The Harvey Entertainment Company
20649,Universal Pictures
20649,40 Acres & A Mule Filmworks
10329,Paramount Pictures
10329,"Kennedy/Marshall Company, The"
8963,Hollywood Pictures
8963,Don Simpson/Jerry Bruckheimer Films
26564,Superior Pictures
8068,Columbia Pictures
8068,Los Hooligans Productions
8512,TriStar Pictures
8512,Mundy Lane Entertainment
1572,Twentieth Century Fox Film Corporation
1572,Cinergi Pictures Entertainment
13552,Why Not Productions
13552,Desperate Pictures
13552,Blurco
13552,The Teen Angst Movie Company
259209,Touchstone Pictures
259209,Merchant Ivory Productions
6520,Columbia Pictures Corporation
6520,First Knight Productions
9073,Regency Enterprises
9073,Alcor Films
9073,Canal+
9073,Donner/Shuler-Donner Productions
9073,Warner Bros.
10428,United Artists
10428,Suftley
