movie_id,department,gender,job,name
5,Directing,1.0,Director,Allison Anders
5,Directing,0.0,Director,Quentin Tarantino
5,Directing,0.0,First Assistant Director,Douglas Aarniokoski
5,Directing,0.0,Director,Robert Rodriguez
5,Directing,0.0,Director,Alexandre Rockwell
6,Directing,0.0,Director,Stephen Hopkins
11,Directing,0.0,Director,George Lucas
12,Directing,0.0,Co-Director,Lee Unkrich
12,Directing,0.0,Director,Andrew Stanton
13,Directing,0.0,Director,Robert Zemeckis
13,Directing,0.0,First Assistant Director,Bruce Moriarty
14,Directing,0.0,Director,Sam Mendes
14,Directing,0.0,Assistant Director,Tony Adler
14,Directing,1.0,Script Supervisor,Ana Maria Quintana
15,Directing,0.0,Director,Orson Welles
15,Directing,0.0,Second Assistant Director,Fred Fleck
16,Directing,0.0,Director,Lars von Trier
17,Directing,0.0,Director,John Fawcett
18,Directing,0.0,Director,Luc Besson
19,Directing,0.0,Director,Fritz Lang
19,Directing,0.0,Assistant Director,Slatan Dudow
20,Directing,1.0,Director,Isabel Coixet
21,Directing,0.0,Director,Bruce Brown
22,Directing,1.0,Second Assistant Director,Susan J. Hellmann
22,Directing,0.0,Director,Gore Verbinski
24,Directing,0.0,Director,Quentin Tarantino
25,Directing,0.0,Director,Sam Mendes
26,Directing,0.0,Director,Eytan Fox
27,Directing,0.0,Director,Michael Winterbottom
28,Directing,0.0,Assistant Director,Jerry Ziesmer
28,Directing,0.0,Director,Francis Ford Coppola
28,Directing,0.0,Assistant Director,Larry J. Franco
30,Directing,0.0,Director,Kouji Morimoto
33,Directing,0.0,Assistant Director,Bill Bannerman
33,Directing,0.0,Assistant Director,Tom Rooker
33,Directing,0.0,Assistant Director,Jeffrey Wetzel
33,Directing,0.0,Director,Clint Eastwood
35,Directing,0.0,Director,David Silverman
38,Directing,0.0,Director,Michel Gondry
38,Directing,1.0,Script Supervisor,Mary Cybulski
55,Directing,0.0,Assistant Director,Carlos Hidalgo
55,Directing,0.0,Director,Alejandro González Iñárritu
58,Directing,0.0,Director,Gore Verbinski
59,Directing,0.0,Director,David Cronenberg
62,Directing,0.0,Director,Stanley Kubrick
63,Directing,0.0,Director,Terry Gilliam
63,Directing,0.0,First Assistant Director,Mark Egerton
63,Directing,0.0,Second Assistant Director,Andrew Bernstein
64,Directing,0.0,Director,Pedro Almodóvar
65,Directing,0.0,Second Assistant Director,Michael J. Moore
65,Directing,1.0,Script Supervisor,Eva Z. Cabrera
65,Directing,0.0,Director,Curtis Hanson
66,Directing,0.0,Director,Clint Eastwood
67,Directing,0.0,Director,Hany Abu-Assad
68,Directing,0.0,Director,Terry Gilliam
69,Directing,1.0,Script Supervisor,Sheila Waldron
69,Directing,0.0,Director,James Mangold
69,Directing,0.0,Assistant Director,Nicholas Mastandrea
70,Directing,0.0,Director,Clint Eastwood
70,Directing,0.0,Assistant Director,Robert Lorenz
71,Directing,0.0,Director,Stephen Daldry
73,Directing,0.0,Director,Tony Kaye
74,Directing,1.0,Script Supervisor,Ana Maria Quintana
74,Directing,0.0,Director,Steven Spielberg
75,Directing,0.0,Director,Tim Burton
76,Directing,0.0,Director,Richard Linklater
77,Directing,0.0,Script Supervisor,Steve Gehrke
77,Directing,0.0,Director,Christopher Nolan
78,Directing,0.0,Director,Ridley Scott
79,Directing,0.0,Director,Zhang Yimou
80,Directing,0.0,Director,Richard Linklater
81,Directing,0.0,Director,Hayao Miyazaki
82,Directing,0.0,Director,Michael Mann
82,Directing,1.0,Script Supervisor,Pamela Alch
83,Directing,0.0,Director,Chris Kentis
85,Directing,0.0,Director,Steven Spielberg
86,Directing,0.0,Director,Oskar Roehler
87,Directing,0.0,Director,Steven Spielberg
88,Directing,0.0,Director,Emile Ardolino
89,Directing,0.0,Director,Steven Spielberg
90,Directing,1.0,Script Supervisor,Betty Goldberg
90,Directing,0.0,Director,Martin Brest
91,Directing,0.0,Director,Luis Buñuel
92,Directing,0.0,Director,Michael Glawogger
93,Directing,0.0,Director,Otto Preminger
95,Directing,1.0,Script Supervisor,Karen Golden
95,Directing,0.0,Director,Michael Bay
96,Directing,0.0,Director,Tony Scott
96,Directing,1.0,Script Supervisor,Betty A. Griffin
97,Directing,0.0,Director,Steven Lisberger
98,Directing,0.0,Director,Ridley Scott
99,Directing,0.0,Director,Pedro Almodóvar
100,Directing,0.0,Director,Guy Ritchie
101,Directing,0.0,Director,Luc Besson
101,Directing,0.0,First Assistant Director,Pascal Chaumeil
102,Directing,1.0,Director,Susanne Bier
103,Directing,0.0,Director,Martin Scorsese
103,Directing,0.0,Assistant Director,Ralph S. Singleton
103,Directing,1.0,Script Supervisor,Kay Chapin
104,Directing,0.0,Director,Tom Tykwer
105,Directing,0.0,Director,Robert Zemeckis
105,Directing,0.0,Assistant Director,David McGiffert
106,Directing,0.0,Director,John McTiernan
107,Directing,0.0,Director,Guy Ritchie
107,Directing,0.0,Assistant Director,David Reid
108,Directing,0.0,Director,Krzysztof Kieślowski
109,Directing,0.0,Director,Krzysztof Kieślowski
110,Directing,0.0,Director,Krzysztof Kieślowski
111,Directing,0.0,Director,Brian De Palma
111,Directing,0.0,Assistant Director,Jerry Ziesmer
112,Directing,1.0,Director,Lone Scherfig
113,Directing,0.0,Director,Kim Ki-duk
114,Directing,0.0,Director,Garry Marshall
116,Directing,0.0,Director,Woody Allen
117,Directing,0.0,Assistant Director,Richard Patrick
117,Directing,0.0,Assistant Director,James W. Skotchdopole
117,Directing,0.0,Assistant Director,Joe Napolitano
117,Directing,0.0,Director,Brian De Palma
118,Directing,0.0,Director,Tim Burton
118,Directing,1.0,Script Supervisor,Nikki Clapp
120,Directing,0.0,Director,Peter Jackson
121,Directing,0.0,Director,Peter Jackson
122,Directing,0.0,Director,Peter Jackson
123,Directing,0.0,Director,Ralph Bakshi
124,Directing,0.0,Director,Krzysztof Kieślowski
127,Directing,0.0,Director,Krzysztof Kieślowski
128,Directing,0.0,Director,Hayao Miyazaki
129,Directing,0.0,Director,Hayao Miyazaki
132,Directing,1.0,Director,Charlotte Zwerin
132,Directing,0.0,Director,Albert Maysles
132,Directing,0.0,Director,David Maysles
133,Directing,0.0,Director,Robert Drew
134,Directing,0.0,Script Supervisor,Thomas Johnston
135,Directing,0.0,Director,D.A. Pennebaker
136,Directing,0.0,Director,Tod Browning
137,Directing,1.0,Script Supervisor,Judi Townsend
137,Directing,0.0,Assistant Director,Sam Hoffman
137,Directing,0.0,Director,Harold Ramis
138,Directing,0.0,Director,Tod Browning
139,Directing,0.0,Director,Søren Kragh-Jacobsen
140,Directing,0.0,Director,Pedro Almodóvar
141,Directing,0.0,Director,Richard Kelly
142,Directing,0.0,Director,Ang Lee
144,Directing,0.0,Director,Wim Wenders
145,Directing,0.0,Director,Lars von Trier
146,Directing,0.0,Director,Ang Lee
148,Directing,1.0,Director,Isabel Coixet
149,Directing,0.0,Director,Katsuhiro Ōtomo
150,Directing,0.0,Director,Walter Hill
152,Directing,0.0,Director,Robert Wise
153,Directing,1.0,Script Supervisor,Eva Z. Cabrera
153,Directing,1.0,Director,Sofia Coppola
154,Directing,0.0,Director,Nicholas Meyer
155,Directing,0.0,Director,Christopher Nolan
155,Directing,0.0,Script Supervisor,Steve Gehrke
156,Directing,1.0,Director,Lone Scherfig
157,Directing,0.0,Director,Leonard Nimoy
158,Directing,0.0,Director,Thomas Jahn
161,Directing,1.0,Script Supervisor,Annie Welles
161,Directing,0.0,Director,Steven Soderbergh
161,Directing,0.0,First Assistant Director,Gregory Jacobs
162,Directing,0.0,Director,Tim Burton
163,Directing,0.0,Director,Steven Soderbergh
163,Directing,0.0,Assistant Director,Gregory Jacobs
163,Directing,1.0,Script Supervisor,Annie Welles
164,Directing,0.0,Director,Blake Edwards
165,Directing,0.0,Director,Robert Zemeckis
166,Directing,0.0,Director,Claude Pinoteau
167,Directing,0.0,Director,Iain Softley
167,Directing,1.0,Script Supervisor,Karen Golden
168,Directing,0.0,Director,Leonard Nimoy
169,Directing,0.0,Director,Stephen Hopkins
169,Directing,0.0,First Assistant Director,Josh McLaglen
170,Directing,0.0,Director,Danny Boyle
171,Directing,0.0,Director,Claude Pinoteau
172,Directing,0.0,Director,William Shatner
174,Directing,0.0,Director,Nicholas Meyer
175,Directing,0.0,Director,Luc Besson
176,Directing,0.0,Director,James Wan
176,Directing,1.0,Script Supervisor,Jillian Giacomini
177,Directing,0.0,Director,Terry Gilliam
178,Directing,0.0,Director,Stephen Hopkins
179,Directing,1.0,Script Supervisor,Dianne Dreyer
179,Directing,0.0,Director,Sydney Pollack
179,Directing,0.0,First Assistant Director,David McGiffert
180,Directing,0.0,First Assistant Director,Sergio Mimica-Gezzan
180,Directing,0.0,Second Assistant Director,David H. Venghaus Jr.
180,Directing,1.0,Script Supervisor,Ana Maria Quintana
180,Directing,0.0,Director,Steven Spielberg
182,Directing,0.0,Director,Steven Soderbergh
184,Directing,0.0,Director,Quentin Tarantino
185,Directing,0.0,Director,Stanley Kubrick
187,Directing,1.0,Script Supervisor,Monika Petrillo
187,Directing,0.0,Special Guest Director,Quentin Tarantino
187,Directing,0.0,Director,Robert Rodriguez
187,Directing,0.0,Director,Frank Miller
189,Directing,0.0,Director,Frank Miller
189,Directing,0.0,Director,Robert Rodriguez
189,Directing,1.0,Script Supervisor,Monika Petrillo
192,Directing,0.0,Director,Jean-Jacques Annaud
193,Directing,0.0,Director,David Carson
194,Directing,0.0,Director,Jean-Pierre Jeunet
195,Directing,0.0,Director,Ernst Lubitsch
196,Directing,0.0,Director,Robert Zemeckis
197,Directing,0.0,Director,Mel Gibson
198,Directing,0.0,Director,Ernst Lubitsch
199,Directing,0.0,Director,Jonathan Frakes
200,Directing,0.0,Director,Jonathan Frakes
201,Directing,0.0,Director,Stuart Baird
203,Directing,0.0,Director,Martin Scorsese
204,Directing,0.0,Director,Henri-Georges Clouzot
204,Directing,0.0,Assistant Director,Roberto Savarese
205,Directing,0.0,Director,Terry George
205,Directing,1.0,Script Supervisor,Lisa Vick
206,Directing,0.0,Director,Mario Andreacchio
207,Directing,0.0,Director,Peter Weir
211,Directing,0.0,Director,Hannes Stöhr
213,Directing,0.0,Director,Alfred Hitchcock
214,Directing,0.0,Director,Darren Lynn Bousman
215,Directing,0.0,Director,Darren Lynn Bousman
216,Directing,0.0,Director,Rainer Werner Fassbinder
217,Directing,0.0,Director,Steven Spielberg
218,Directing,0.0,Script Supervisor,James Cameron
218,Directing,0.0,Director,James Cameron
219,Directing,0.0,Director,Pedro Almodóvar
220,Directing,0.0,Director,Elia Kazan
220,Directing,0.0,Assistant Director,Don Alvarado
