movie_id,keyword
10545,15th century
1492,15th century
49017,15th century
157283,15th century
311324,15th century
26920,15th century
346,16th century
9454,16th century
8583,16th century
43875,16th century
2000,16th century
11162,16th century
22033,16th century
14073,16th century
16166,16th century
46768,16th century
338913,16th century
10530,17th century
42525,17th century
14537,17th century
79761,17th century
52451,17th century
44450,17th century
283227,17th century
310131,17th century
277154,17th century
68730,17th century
329829,17th century
42591,17th century
214641,17th century
11780,18th century
279,18th century
12709,18th century
9361,18th century
11416,18th century
31527,18th century
1627,18th century
45881,18th century
4348,18th century
12701,18th century
62116,18th century
62213,18th century
99579,18th century
4479,18th century
212530,18th century
248934,18th century
68023,18th century
296360,18th century
122331,18th century
321612,18th century
124979,18th century
16633,1910s
597,1910s
10338,1910s
9833,1910s
29262,1910s
42984,1910s
2929,1910s
116019,1910s
80705,1910s
65821,1910s
173638,1910s
245168,1910s
297762,1910s
18174,1910s
18174,1910s
330982,1910s
401065,1910s
23333,1920s
564,1920s
52654,1920s
10995,1920s
15927,1920s
11030,1920s
42702,1920s
14784,1920s
13910,1920s
42984,1920s
43046,1920s
32934,1920s
15810,1920s
164251,1920s
110323,1920s
288521,1920s
304878,1920s
117483,1920s
259695,1920s
314095,1920s
283591,1920s
363579,1920s
117800,1920s
41653,1930s
41007,1930s
15121,1930s
21612,1930s
9277,1930s
22073,1930s
117,1930s
497,1930s
30588,1930s
248,1930s
29450,1930s
14675,1930s
11030,1930s
15271,1930s
49565,1930s
15184,1930s
65502,1930s
26506,1930s
266814,1930s
12404,1930s
46026,1930s
52047,1930s
42984,1930s
50077,1930s
82633,1930s
83542,1930s
87504,1930s
32069,1930s
82185,1930s
304878,1930s
339397,1930s
267192,1930s
27605,1930s
363841,1930s
259695,1930s
337844,1930s
283591,1930s
22279,1940s
8438,1940s
278,1940s
238,1940s
66597,1940s
857,1940s
9442,1940s
850,1940s
11287,1940s
41357,1940s
69850,1940s
125945,1940s
7504,1940s
25431,1940s
16227,1940s
42201,1940s
14554,1940s
5528,1940s
44875,1940s
49565,1940s
13922,1940s
2117,1940s
42984,1940s
77878,1940s
72882,1940s
24786,1940s
2594,1940s
253239,1940s
105945,1940s
6163,1940s
34449,1940s
53774,1940s
294016,1940s
77861,1940s
98525,1940s
165462,1940s
165462,1940s
334304,1940s
324786,1940s
340945,1940s
377447,1940s
369885,1940s
334522,1940s
18141,1940s
23764,1940s
371743,1940s
399790,1940s
398924,1940s
235,1950s
2118,1950s
13466,1950s
10386,1950s
11787,1950s
13776,1950s
2604,1950s
26850,1950s
40913,1950s
44162,1950s
42045,1950s
1723,1950s
11109,1950s
14750,1950s
15356,1950s
43255,1950s
33511,1950s
11324,1950s
26682,1950s
42984,1950s
44159,1950s
43338,1950s
281007,1950s
136403,1950s
26831,1950s
135047,1950s
167073,1950s
181283,1950s
283708,1950s
258480,1950s
298382,1950s
300673,1950s
300673,1950s
44804,1950s
340611,1950s
207558,1950s
393457,1950s
310307,1950s
301372,1950s
10534,1960s
9559,1960s
792,1960s
28029,1960s
10388,1960s
8469,1960s
2604,1960s
4587,1960s
32261,1960s
27092,1960s
21828,1960s
70971,1960s
49934,1960s
24782,1960s
10734,1960s
18387,1960s
69,1960s
17741,1960s
2976,1960s
4688,1960s
13008,1960s
31082,1960s
14359,1960s
12573,1960s
34653,1960s
10197,1960s
75877,1960s
42984,1960s
49538,1960s
50014,1960s
23514,1960s
93188,1960s
128270,1960s
100592,1960s
86829,1960s
177888,1960s
171274,1960s
106922,1960s
283227,1960s
319067,1960s
285858,1960s
345519,1960s
41311,1960s
73132,1960s
339339,1960s
55138,1960s
85696,1960s
55138,1960s
85696,1960s
371647,1960s
54316,1960s
347123,1960s
41004,1960s
207558,1960s
376453,1960s
335796,1960s
269057,1960s
326285,1960s
305943,1960s
381284,1960s
409447,1960s
394260,1960s
444902,1960s
524,1970s
9263,1970s
34152,1970s
6075,1970s
9571,1970s
7984,1970s
52633,1970s
769,1970s
68924,1970s
476,1970s
8333,1970s
37722,1970s
593,1970s
1443,1970s
32047,1970s
34045,1970s
2604,1970s
13715,1970s
12506,1970s
4133,1970s
4484,1970s
742,1970s
14683,1970s
4267,1970s
12149,1970s
13963,1970s
29698,1970s
598,1970s
26173,1970s
4762,1970s
10237,1970s
11850,1970s
12503,1970s
207625,1970s
40374,1970s
1677,1970s
2998,1970s
1660,1970s
2111,1970s
12086,1970s
26488,1970s
12228,1970s
258,1970s
9729,1970s
259,1970s
1420,1970s
8425,1970s
612,1970s
16433,1970s
33095,1970s
7510,1970s
1523,1970s
11170,1970s
36610,1970s
9903,1970s
442,1970s
15934,1970s
523,1970s
2011,1970s
8079,1970s
7979,1970s
31922,1970s
10186,1970s
6968,1970s
17073,1970s
8071,1970s
7980,1970s
27586,1970s
36801,1970s
1896,1970s
37234,1970s
45485,1970s
152861,1970s
37686,1970s
56815,1970s
74406,1970s
66125,1970s
93188,1970s
84334,1970s
116811,1970s
105526,1970s
152748,1970s
122089,1970s
33114,1970s
118915,1970s
63143,1970s
193612,1970s
127585,1970s
204968,1970s
171274,1970s
240881,1970s
52448,1970s
244580,1970s
250124,1970s
126331,1970s
85968,1970s
61542,1970s
285783,1970s
117168,1970s
241739,1970s
253112,1970s
314385,1970s
364781,1970s
342786,1970s
24571,1970s
24571,1970s
19293,1970s
364540,1970s
301348,1970s
64834,1970s
290250,1970s
299782,1970s
298459,1970s
259693,1970s
374052,1970s
207558,1970s
326285,1970s
393764,1970s
342737,1970s
115894,1970s
293167,1970s
10249,1980s
1808,1980s
37722,1980s
598,1980s
27814,1980s
11884,1980s
62825,1980s
8618,1980s
13183,1980s
18094,1980s
16614,1980s
17436,1980s
22302,1980s
2143,1980s
41402,1980s
39513,1980s
71688,1980s
74406,1980s
68734,1980s
88284,1980s
89501,1980s
119675,1980s
113148,1980s
152532,1980s
33091,1980s
204968,1980s
282041,1980s
236735,1980s
50114,1980s
280218,1980s
241239,1980s
246655,1980s
73941,1980s
312152,1980s
293970,1980s
251516,1980s
