movie_id,department,gender,job,name
949,Directing,1.0,Script Supervisor,Cate Hardman
11860,Directing,1.0,Script Supervisor,Mary A. Kelly
5,Directing,1.0,Director,Allison Anders
9263,Directing,1.0,Director,Lesli Linka Glatter
687,Directing,1.0,Script Supervisor,Eva Z. Cabrera
9603,Directing,1.0,Director,Amy Heckerling
9312,Directing,1.0,Script Supervisor,Jules Stewart
11861,Directing,1.0,Director,Jocelyn Moorhouse
8391,Directing,1.0,Director,Patricia Rozema
11448,Directing,1.0,Script Supervisor,Kay Chapin
26441,Directing,1.0,Director,Holly Goldberg Sloan
9089,Directing,1.0,Director,Jodie Foster
9089,Directing,1.0,Script Supervisor,Dianne Dreyer
17182,Directing,1.0,Script Supervisor,Ana Maria Quintana
4482,Directing,1.0,Director,Josiane Balasko
9283,Directing,1.0,Script Supervisor,Wendy Lee Roberts
11907,Directing,1.0,Director,Doris Dörrie
103,Directing,1.0,Script Supervisor,Kay Chapin
2074,Directing,1.0,Script Supervisor,Julie Oppenheimer
110972,Directing,1.0,Script Supervisor,Harri James
32622,Directing,1.0,Director,Rebecca Miller
9101,Directing,1.0,Script Supervisor,Lainie Miller
10474,Directing,1.0,Script Supervisor,Lisa Katcher
568,Directing,1.0,Script Supervisor,Eva Z. Cabrera
8839,Directing,1.0,Script Supervisor,Annette Haywood-Carter
8839,Directing,1.0,Script Supervisor,Ana Maria Quintana
10428,Directing,1.0,Script Supervisor,Diana Dill
47608,Directing,1.0,Director,Antonia Bird
36196,Directing,1.0,Director,Daisy von Scherler Mayer
58372,Directing,1.0,Script Supervisor,Wendy Lee Roberts
281,Directing,1.0,Director,Kathryn Bigelow
47939,Directing,1.0,Director,Martha Coolidge
36834,Directing,1.0,Director,Agnieszka Holland
9090,Directing,1.0,Director,Beeban Kidron
9090,Directing,1.0,Script Supervisor,Mary Cybulski
52856,Directing,1.0,Director,Diane Keaton
9560,Directing,1.0,Script Supervisor,Ingrid Urich-Sass
9804,Directing,1.0,Script Supervisor,Ana Maria Quintana
11017,Directing,1.0,Director,Tamra Davis
9587,Directing,1.0,Director,Gillian Armstrong
9587,Directing,1.0,Script Supervisor,Christine Wilson
47504,Directing,1.0,Script Supervisor,Julie Oppenheimer
32325,Directing,1.0,Director,Allison Anders
43742,Directing,1.0,Script Supervisor,Ana Maria Quintana
18220,Directing,1.0,Director,Anne Goursaud
63020,Directing,1.0,Director,Mira Nair
40156,Directing,1.0,Director,Antonia Bird
30304,Directing,1.0,Script Supervisor,Angela Robinson
87078,Directing,1.0,Script Supervisor,Hilary Momberger
9067,Directing,1.0,Director,Rachel Talalay
36141,Directing,1.0,Script Supervisor,Jane Goldsmith
48287,Directing,1.0,Director,Melanie Mayron
10464,Directing,1.0,Director,Jessie Nelson
48992,Directing,1.0,Director,Darnell Martin
11596,Directing,1.0,Script Supervisor,Gretchen Oehler
8831,Directing,1.0,Script Supervisor,Christine Wilson
10395,Directing,1.0,Script Supervisor,Mary Bailey
29444,Directing,1.0,Script Supervisor,Sarah Auerswald
14522,Directing,1.0,Director,Caroline Thompson
18215,Directing,1.0,Director,Jennifer Chambers Lynch
11566,Directing,1.0,Script Supervisor,Karen Hale Wookey
10443,Directing,1.0,Script Supervisor,Julie Pitkanen
35588,Directing,1.0,Script Supervisor,Paula Barrett-Barbier
18620,Directing,1.0,Director,Rose Troche
12475,Directing,1.0,Script Supervisor,Dea Cantu
329,Directing,1.0,Script Supervisor,Ana Maria Quintana
10909,Directing,1.0,Script Supervisor,Jane Goldsmith
31911,Directing,1.0,Script Supervisor,Dianne Dreyer
9300,Directing,1.0,Director,Sally Potter
713,Directing,1.0,Director,Jane Campion
1245,Directing,1.0,Script Supervisor,Diana Dill
11858,Directing,1.0,Director,Penny Marshall
11236,Directing,1.0,Director,Agnieszka Holland
10445,Directing,1.0,Script Supervisor,Nikki Clapp
858,Directing,1.0,Script Supervisor,Mary A. Kelly
10057,Directing,1.0,Script Supervisor,Sally Jones
11969,Directing,1.0,Script Supervisor,Mary Wright
26408,Directing,1.0,Director,Chris Hegedus
218473,Directing,1.0,Director,Jennifer Warren
14587,Directing,1.0,Director,Gurinder Chadha
124304,Directing,1.0,Director,María Luisa Bemberg
9066,Directing,1.0,Director,Betty Thomas
23570,Directing,1.0,Script Supervisor,Julie Oppenheimer
54850,Directing,1.0,Director,Anna Campion
954,Directing,1.0,Script Supervisor,Diana Dill
10543,Directing,1.0,Script Supervisor,Christine Wilson
288173,Directing,1.0,Director,Catherine Cyran
105045,Directing,1.0,Director,Margarethe von Trotta
37144,Directing,1.0,Director,Pat Verducci
43634,Directing,1.0,Director,Stacy Cochran
8866,Directing,1.0,Script Supervisor,Tricia Ronten
37667,Directing,1.0,Director,Angela Pope
90148,Directing,1.0,Director,Betty Kaplan
9304,Directing,1.0,Script Supervisor,Judi Townsend
9802,Directing,1.0,Script Supervisor,Karen Golden
21588,Directing,1.0,Assistant Director,Julie Gavras
664,Directing,1.0,Script Supervisor,Trudy Ramirez
10547,Directing,1.0,Script Supervisor,Dea Cantu
10547,Directing,1.0,Script Supervisor,Rebecca Fulton
26890,Directing,1.0,Director,Mary Harron
26890,Directing,1.0,Script Supervisor,Sheila Waldron
602,Directing,1.0,Script Supervisor,Annie Welles
123763,Directing,1.0,Director,María Luisa Bemberg
26748,Directing,1.0,Script Supervisor,Mary Cybulski
38223,Directing,1.0,Director,Bronwen Hughes
49963,Directing,1.0,Director,Nicole Holofcener
49963,Directing,1.0,Script Supervisor,Sheila Waldron
31546,Directing,1.0,Script Supervisor,Sarah Auerswald
11511,Directing,1.0,Script Supervisor,Dawn Gilliam
172198,Directing,1.0,Director,Ildikó Enyedi
12606,Directing,1.0,Director,Arlene Sanford
18555,Directing,1.0,Director,Annette Haywood-Carter
9431,Directing,1.0,Script Supervisor,Lara Fox
10478,Directing,1.0,Script Supervisor,Karen Golden
213917,Directing,1.0,Director,Nicole Garcia
88224,Directing,1.0,Director,Lisa Krueger
9303,Directing,1.0,Director,Lana Wachowski
9303,Directing,1.0,Director,Lilly Wachowski
260,Directing,1.0,Script Supervisor,Alma Reville
58985,Directing,1.0,Director,Allison Anders
10861,Directing,1.0,Script Supervisor,Lara Fox
44465,Directing,1.0,Director,Amy Holden Jones
41843,Directing,1.0,Script Supervisor,Anna Worley
9716,Directing,1.0,Script Supervisor,Kay Chapin
623,Directing,1.0,Continuity,Diana Dill
500,Directing,1.0,First Assistant Director,Jamie Beardsley
402,Directing,1.0,Script Supervisor,Trudy Ramirez
9504,Directing,1.0,Script Supervisor,Dianne Dreyer
37616,Directing,1.0,Script Supervisor,Sheila Waldron
2756,Directing,1.0,Script Supervisor,Sharron Reynolds
41326,Directing,1.0,Director,Barbara Kopple
1600,Directing,1.0,Script Supervisor,Christine Raffa-Catonné
2493,Directing,1.0,Script Supervisor,Ceri Evans
703,Directing,1.0,Script Supervisor,Kay Chapin
9277,Directing,1.0,Script Supervisor,Charlsie Bryant
