movie_id,department,gender,job,name
862,Production,1.0,Producer,Bonnie Arnold
862,Production,1.0,Casting Consultant,Ruth Lambert
31357,Production,1.0,Producer,Deborah Schindler
11862,Production,1.0,Producer,Nancy Meyers
949,Production,1.0,Casting,Bonnie Timmermann
11860,Production,1.0,Casting Associate,Kate Dowd
11860,Production,1.0,Executive Producer,Lindsay Doran
11860,Production,1.0,Casting Associate,Ronna Kress
11860,Production,1.0,Location Manager,Sandrine Ageorges
11860,Production,1.0,Production Coordinator,Katherine Kennedy
710,Production,1.0,Producer,Barbara Broccoli
710,Production,1.0,Casting,Debbie McWilliams
710,Production,1.0,Casting,Pam Dixon
21032,Production,1.0,Producer,Kathleen Kennedy
1408,Production,1.0,Casting,Mindy Marin
524,Production,1.0,Producer,Barbara De Fina
524,Production,1.0,Casting,Ellen Lewis
4584,Production,1.0,Producer,Lindsay Doran
5,Production,1.0,Casting Associate,Randi Hiller
11517,Production,1.0,Executive Producer,Tracy Barone
11517,Production,1.0,Casting,Francine Maisler
8012,Production,1.0,Producer,Stacey Sher
8012,Production,1.0,Casting,Debra Zane
1710,Production,1.0,Casting,Suzanne Smith
9691,Production,1.0,Executive Producer,Lauren Shuler Donner
9691,Production,1.0,Casting,Marion Dougherty
451,Production,1.0,Executive Producer,Paige Simpson
451,Production,1.0,Producer,Annie Stewart
451,Production,1.0,Casting,Carrie Frazier
9263,Production,1.0,Producer,Demi Moore
9263,Production,1.0,Executive Producer,Jennifer Todd
9263,Production,1.0,Producer,Suzanne Todd
902,Production,1.0,Producer,Claudie Ossard
9909,Production,1.0,Casting,Bonnie Timmermann
9909,Production,1.0,Executive Producer,Sandra Rabins
9909,Production,1.0,Executive Producer,Kate Guinzburg
63,Production,1.0,Casting,Margery Simkin
78802,Production,1.0,Casting,Mary Jo Slater
687,Production,1.0,Location Manager,Barbara Heller
139405,Production,1.0,Casting,Avy Kaufman
9603,Production,1.0,Casting,Marcia Ross
9312,Production,1.0,Producer,Alison Savitch
577,Production,1.0,Producer,Laura Ziskin
577,Production,1.0,Casting,Deirdre Bowen
11861,Production,1.0,Producer,Sarah Pillsbury
11861,Production,1.0,Producer,Midge Sanford
11861,Production,1.0,Co-Producer,Patricia Whitcher
11861,Production,1.0,Executive Producer,Laurie MacDonald
11861,Production,1.0,Casting,Risa Bramon Garcia
11861,Production,1.0,Casting,Mary Vernieu
807,Production,1.0,Casting,Suzanne Smith
807,Production,1.0,Co-Executive Producer,Lynn Harris
807,Production,1.0,Casting Assistant,Kim Coleman
807,Production,1.0,Producer,Phyllis Carlyle
807,Production,1.0,Executive Producer,Anne Kopelson
807,Production,1.0,Production Coordinator,Wendy Cox
807,Production,1.0,Casting Assistant,Jennifer McNamara
8391,Production,1.0,Casting,Deirdre Bowen
629,Production,1.0,Casting,Francine Maisler
629,Production,1.0,Production Supervisor,Vicky Herman
629,Production,1.0,Location Manager,Ashley Friedman
629,Production,1.0,Casting Associate,Kathy Driscoll
629,Production,1.0,Casting Associate,Lisa Miller Katz
11448,Production,1.0,Casting,Juliet Taylor
11448,Production,1.0,Co-Executive Producer,Letty Aronson
11448,Production,1.0,Production Manager,Helen Robin
11448,Production,1.0,Co-Producer,Helen Robin
11448,Production,1.0,Executive Producer,Jean Doumanian
9089,Production,1.0,Producer,Jodie Foster
9089,Production,1.0,Casting,Avy Kaufman
11359,Production,1.0,Producer,Kathleen Kennedy
11359,Production,1.0,Casting,Margery Simkin
17182,Production,1.0,Casting,Mali Finn
2054,Production,1.0,Casting,Sharon Bialy
755,Production,1.0,Casting,Elaine J. Huzzar
755,Production,1.0,Casting,Johanna Ray
755,Production,1.0,Co-Producer,Elizabeth Avellan
11859,Production,1.0,Casting,Jackie Burch
