"movie_id","release_date","gender"
5,"1995-12-09",2
5,"1995-12-09",2
5,"1995-12-09",2
5,"1995-12-09",2
5,"1995-12-09",1
6,"1993-10-15",2
11,"1977-05-25",2
12,"2003-05-30",2
12,"2003-05-30",2
13,"1994-07-06",2
13,"1994-07-06",2
14,"1999-09-15",1
14,"1999-09-15",2
14,"1999-09-15",2
16,"2000-05-17",2
17,"2006-01-26",2
18,"1997-05-07",2
20,"2003-03-07",1
21,"1966-06-15",2
22,"2003-07-09",2
22,"2003-07-09",1
24,"2003-10-10",2
25,"2005-11-04",2
26,"2004-02-05",2
27,"2004-07-16",2
28,"1979-08-15",2
28,"1979-08-15",2
28,"1979-08-15",2
30,"1995-12-23",2
33,"1992-08-07",2
33,"1992-08-07",2
33,"1992-08-07",2
33,"1992-08-07",2
35,"2007-07-25",2
38,"2004-03-19",2
38,"2004-03-19",1
55,"2000-06-16",2
55,"2000-06-16",2
58,"2006-06-20",2
59,"2005-09-23",2
62,"1968-04-10",2
63,"1995-12-29",2
63,"1995-12-29",2
63,"1995-12-29",2
64,"2002-03-14",2
65,"2002-11-08",1
65,"2002-11-08",2
65,"2002-11-08",2
66,"1997-02-14",2
67,"2005-02-14",2
68,"1985-02-20",2
69,"2005-09-13",1
69,"2005-09-13",2
69,"2005-09-13",2
70,"2004-12-15",2
70,"2004-12-15",2
71,"2000-05-18",2
73,"1998-10-30",2
74,"2005-06-28",1
74,"2005-06-28",2
75,"1996-12-12",2
76,"1995-01-27",2
77,"2000-10-11",2
77,"2000-10-11",2
78,"1982-06-25",2
79,"2002-12-19",2
80,"2004-02-10",2
81,"1984-03-11",2
82,"2006-07-27",2
82,"2006-07-27",1
83,"2004-08-06",2
85,"1981-06-12",2
86,"2006-02-10",2
87,"1984-05-23",2
88,"1987-08-21",2
89,"1989-05-24",2
90,"1984-11-29",2
90,"1984-11-29",1
92,"1998-08-12",2
93,"1959-07-01",2
95,"1998-07-01",1
95,"1998-07-01",2
96,"1987-05-18",1
96,"1987-05-18",2
97,"1982-07-09",2
98,"2000-05-01",2
99,"1999-04-19",2
100,"1998-03-05",2
101,"1994-09-14",2
101,"1994-09-14",2
102,"2002-09-06",1
103,"1976-02-07",2
103,"1976-02-07",2
103,"1976-02-07",1
104,"1998-08-20",2
105,"1985-07-03",2
105,"1985-07-03",2
106,"1987-06-11",2
107,"2000-09-01",2
107,"2000-09-01",2
108,"1993-01-10",2
109,"1994-01-26",2
110,"1994-05-27",2
111,"1983-12-08",2
111,"1983-12-08",2
112,"2000-12-07",1
113,"2003-09-19",2
114,"1990-03-23",2
116,"2005-10-26",2
117,"1987-06-02",2
117,"1987-06-02",2
117,"1987-06-02",2
117,"1987-06-02",2
118,"2005-07-13",1
118,"2005-07-13",2
120,"2001-12-18",2
121,"2002-12-18",2
122,"2003-12-01",2
123,"1978-11-15",2
124,"1985-06-17",2
127,"1987-01-10",2
128,"1997-07-12",2
129,"2001-07-20",2
132,"1970-12-06",1
132,"1970-12-06",2
132,"1970-12-06",2
133,"1960-01-01",2
134,"2000-08-30",2
135,"1967-05-17",2
137,"1993-02-11",1
137,"1993-02-11",2
137,"1993-02-11",2
139,"1999-03-12",2
140,"2004-03-19",2
141,"2001-01-18",2
142,"2005-09-02",2
144,"1987-01-01",2
145,"1996-05-13",2
146,"2000-10-01",2
148,"2005-12-15",1
149,"1988-07-16",2
150,"1982-12-07",2
152,"1979-12-06",2
153,"2003-08-31",1
153,"2003-08-31",1
154,"1982-06-03",2
155,"2008-07-16",2
155,"2008-07-16",2
156,"2002-11-08",1
157,"1984-05-31",2
158,"1997-02-20",2
161,"2001-12-07",2
161,"2001-12-07",2
161,"2001-12-07",1
162,"1990-12-05",2
163,"2004-12-09",2
163,"2004-12-09",1
163,"2004-12-09",2
164,"1961-10-05",2
165,"1989-11-20",2
166,"1980-01-01",2
167,"2001-10-22",2
167,"2001-10-22",1
168,"1986-11-25",2
169,"1990-11-20",2
169,"1990-11-20",2
170,"2002-10-31",2
171,"1982-12-08",2
172,"1989-06-09",2
174,"1991-12-05",2
175,"1988-05-11",2
176,"2004-10-01",2
176,"2004-10-01",1
177,"1991-09-09",2
178,"1994-07-01",2
179,"2005-04-08",2
179,"2005-04-08",2
179,"2005-04-08",1
180,"2002-06-20",2
180,"2002-06-20",2
180,"2002-06-20",2
180,"2002-06-20",1
182,"2006-12-08",2
184,"1997-12-24",2
185,"1971-12-18",2
187,"2005-04-01",2
187,"2005-04-01",2
187,"2005-04-01",1
187,"2005-04-01",2
189,"2014-08-20",1
189,"2014-08-20",2
189,"2014-08-20",2
192,"1986-09-24",2
193,"1994-11-17",2
194,"2001-04-25",2
196,"1990-05-25",2
197,"1995-05-24",2
199,"1996-11-21",2
200,"1998-12-10",2
201,"2002-12-13",2
203,"1973-10-02",2
204,"1953-04-22",2
204,"1953-04-22",2
205,"2004-09-11",1
205,"2004-09-11",2
206,"2003-01-01",2
207,"1989-06-02",2
211,"2001-11-01",2
213,"1959-07-07",2
214,"2006-10-27",2
215,"2005-10-28",2
216,"1974-03-05",2
217,"2008-05-21",2
218,"1984-10-26",2
218,"1984-10-26",2
219,"2006-03-16",2
220,"1955-03-09",2
220,"1955-03-09",2
224,"1977-02-25",2
225,"1981-07-27",2
227,"1983-03-25",2
231,"2005-11-23",1
231,"2005-11-23",2
232,"1983-10-20",2
233,"1979-07-13",2
235,"1986-08-22",2
236,"1994-09-29",2
237,"2003-09-26",2
238,"1972-03-14",2
238,"1972-03-14",2
238,"1972-03-14",2
239,"1959-03-18",2
240,"1974-12-20",2
240,"1974-12-20",2
241,"1994-08-25",2
242,"1990-12-24",2
245,"2002-04-26",2
246,"2003-09-06",2
247,"1956-05-08",2
247,"1956-05-08",2
249,"1989-12-08",2
251,"1990-07-12",2
252,"1971-06-29",2
253,"1973-07-05",2
254,"2005-12-14",2
257,"2005-09-23",2
261,"1958-02-17",2
262,"1982-12-18",2
265,"1981-01-14",2
266,"1963-10-21",2
267,"1997-10-28",2
268,"1989-06-23",2
269,"1960-03-16",2
272,"2005-06-10",2
272,"2005-06-10",2
273,"2001-12-31",2
274,"1991-02-01",2
274,"1991-02-01",2
276,"2004-10-25",2
277,"2003-09-19",2
277,"2003-09-19",2
278,"1994-09-23",2
278,"1994-09-23",2
279,"1984-10-26",2
279,"1984-10-26",2
280,"1991-07-01",2
280,"1991-07-01",2
281,"1995-10-13",1
285,"2007-05-19",1
285,"2007-05-19",1
