movie_id,keyword
41653,1930s
41007,1930s
15121,1930s
21612,1930s
9277,1930s
22073,1930s
117,1930s
497,1930s
30588,1930s
248,1930s
29450,1930s
14675,1930s
11030,1930s
15271,1930s
49565,1930s
15184,1930s
65502,1930s
26506,1930s
266814,1930s
12404,1930s
46026,1930s
52047,1930s
42984,1930s
50077,1930s
82633,1930s
83542,1930s
87504,1930s
32069,1930s
82185,1930s
304878,1930s
339397,1930s
267192,1930s
27605,1930s
363841,1930s
259695,1930s
337844,1930s
283591,1930s
22279,1940s
8438,1940s
278,1940s
238,1940s
66597,1940s
857,1940s
9442,1940s
850,1940s
11287,1940s
41357,1940s
69850,1940s
125945,1940s
7504,1940s
25431,1940s
16227,1940s
42201,1940s
14554,1940s
5528,1940s
44875,1940s
49565,1940s
13922,1940s
2117,1940s
42984,1940s
77878,1940s
72882,1940s
24786,1940s
2594,1940s
253239,1940s
105945,1940s
6163,1940s
34449,1940s
53774,1940s
294016,1940s
77861,1940s
98525,1940s
165462,1940s
165462,1940s
334304,1940s
324786,1940s
340945,1940s
377447,1940s
369885,1940s
334522,1940s
18141,1940s
23764,1940s
371743,1940s
399790,1940s
398924,1940s
235,1950s
2118,1950s
13466,1950s
10386,1950s
11787,1950s
13776,1950s
2604,1950s
26850,1950s
40913,1950s
44162,1950s
42045,1950s
1723,1950s
11109,1950s
14750,1950s
15356,1950s
43255,1950s
33511,1950s
11324,1950s
26682,1950s
42984,1950s
44159,1950s
43338,1950s
281007,1950s
136403,1950s
26831,1950s
135047,1950s
167073,1950s
181283,1950s
283708,1950s
258480,1950s
298382,1950s
300673,1950s
300673,1950s
44804,1950s
340611,1950s
207558,1950s
393457,1950s
310307,1950s
301372,1950s
10534,1960s
9559,1960s
792,1960s
28029,1960s
10388,1960s
8469,1960s
2604,1960s
4587,1960s
32261,1960s
27092,1960s
21828,1960s
70971,1960s
49934,1960s
24782,1960s
10734,1960s
18387,1960s
69,1960s
17741,1960s
2976,1960s
4688,1960s
13008,1960s
31082,1960s
14359,1960s
12573,1960s
34653,1960s
10197,1960s
75877,1960s
42984,1960s
49538,1960s
50014,1960s
23514,1960s
93188,1960s
128270,1960s
100592,1960s
86829,1960s
177888,1960s
171274,1960s
106922,1960s
283227,1960s
319067,1960s
285858,1960s
345519,1960s
41311,1960s
73132,1960s
339339,1960s
55138,1960s
85696,1960s
55138,1960s
85696,1960s
371647,1960s
54316,1960s
347123,1960s
41004,1960s
207558,1960s
376453,1960s
335796,1960s
269057,1960s
326285,1960s
305943,1960s
381284,1960s
409447,1960s
394260,1960s
444902,1960s
524,1970s
9263,1970s
34152,1970s
6075,1970s
9571,1970s
7984,1970s
52633,1970s
769,1970s
68924,1970s
476,1970s
8333,1970s
37722,1970s
593,1970s
1443,1970s
32047,1970s
34045,1970s
2604,1970s
13715,1970s
12506,1970s
4133,1970s
4484,1970s
742,1970s
14683,1970s
4267,1970s
12149,1970s
13963,1970s
29698,1970s
598,1970s
26173,1970s
4762,1970s
10237,1970s
11850,1970s
12503,1970s
207625,1970s
40374,1970s
1677,1970s
2998,1970s
1660,1970s
2111,1970s
12086,1970s
26488,1970s
12228,1970s
258,1970s
9729,1970s
259,1970s
1420,1970s
8425,1970s
612,1970s
16433,1970s
33095,1970s
7510,1970s
1523,1970s
11170,1970s
36610,1970s
9903,1970s
442,1970s
15934,1970s
523,1970s
2011,1970s
8079,1970s
7979,1970s
31922,1970s
10186,1970s
6968,1970s
17073,1970s
8071,1970s
7980,1970s
27586,1970s
36801,1970s
1896,1970s
37234,1970s
45485,1970s
152861,1970s
37686,1970s
56815,1970s
74406,1970s
66125,1970s
93188,1970s
84334,1970s
116811,1970s
105526,1970s
152748,1970s
122089,1970s
33114,1970s
118915,1970s
63143,1970s
193612,1970s
127585,1970s
204968,1970s
171274,1970s
240881,1970s
52448,1970s
244580,1970s
250124,1970s
126331,1970s
85968,1970s
61542,1970s
285783,1970s
117168,1970s
241739,1970s
253112,1970s
314385,1970s
364781,1970s
342786,1970s
24571,1970s
24571,1970s
19293,1970s
364540,1970s
301348,1970s
64834,1970s
290250,1970s
299782,1970s
298459,1970s
259693,1970s
374052,1970s
207558,1970s
326285,1970s
393764,1970s
342737,1970s
115894,1970s
293167,1970s
10249,1980s
1808,1980s
37722,1980s
598,1980s
27814,1980s
11884,1980s
62825,1980s
8618,1980s
13183,1980s
18094,1980s
16614,1980s
17436,1980s
22302,1980s
2143,1980s
41402,1980s
39513,1980s
71688,1980s
74406,1980s
68734,1980s
88284,1980s
89501,1980s
119675,1980s
113148,1980s
152532,1980s
33091,1980s
204968,1980s
282041,1980s
236735,1980s
50114,1980s
280218,1980s
241239,1980s
246655,1980s
73941,1980s
312152,1980s
293970,1980s
251516,1980s
188529,1980s
203182,1980s
277216,1980s
298865,1980s
252067,1980s
373472,1980s
252067,1980s
373472,1980s
375012,1980s
369557,1980s
50451,1980s
294272,1980s
378441,1980s
373453,1980s
207558,1980s
377516,1980s
381058,1980s
397981,1980s
381064,1980s
407757,1980s
431261,1980s
11000,1990s
1624,1990s
41651,1990s
12924,1990s
150202,1990s
80597,1990s
129139,1990s
238628,1990s
73941,1990s
43721,1990s
141679,1990s
377158,1990s
361777,1990s
334524,1990s
419700,1990s
412766,1990s
9095,19th century
10436,19th century
922,19th century
22660,19th century
38621,19th century
31995,19th century
1955,19th century
1808,19th century
39780,19th century
11040,19th century
10747,19th century
8584,19th century
48217,19th century
75552,19th century
1936,19th century
19666,19th century
16563,19th century
12146,19th century
616,19th century
980,19th century
1162,19th century
28571,19th century
43522,19th century
37347,19th century
71805,19th century
10046,19th century
42257,19th century
68822,19th century
41968,19th century
8953,19th century
28448,19th century
27030,19th century
23220,19th century
6529,19th century
80556,19th century
43838,19th century
65488,19th century
75880,19th century
18320,19th century
76465,19th century
85290,19th century
53156,19th century
51092,19th century
184795,19th century
49529,19th century
42147,19th century
86467,19th century
72331,19th century
96724,19th century
68718,19th century
41604,19th century
80368,19th century
76203,19th century
170039,19th century
13470,19th century
22937,19th century
207933,19th century
205775,19th century
137357,19th century
266044,19th century
209293,19th century
42703,19th century
103119,19th century
230266,19th century
96337,19th century
46809,19th century
127856,19th century
246699,19th century
228066,19th century
319993,19th century
315946,19th century
122198,19th century
122198,19th century
42548,19th century
342588,19th century
366885,19th century
51953,19th century
46975,19th century
342473,19th century
416166,19th century
104460,19th century
104462,19th century
10098,abandoned
252178,abandoned
217590,abandoned
11335,abandoned
118009,abandoned
109048,abandoned
154400,abandoned
9560,abandoned
12102,abandoned
20213,abandoned
5000,abandoned
42790,abandoned
271388,abandoned
22004,abandoned
28377,abandoned
9041,abandoned
9666,abandoned
30162,abandoned
359246,abandoned
9208,abandoned
9619,abandoned
48397,abandoned
2160,abandoned
149114,abolition
76203,abolition
36040,aborigine
9555,aborigine
4657,aborigine
45569,aborigine
412280,aborigine
72277,aborigine
9555,aborigine
69069,aborigine
16608,aborigine
4657,aborigine
45569,aborigine
75298,aborigine
118490,aborigine
88,abortion
13342,abortion
25690,abortion
27088,abortion
29084,abortion
4507,abortion
3010,abortion
8999,abortion
35203,abortion
148357,abortion
91878,abortion
126432,abortion
72483,abortion
309304,abortion
101029,abortion
137683,abortion
329004,abortion
329004,abortion
241927,abortion
374458,abortion
292625,abortion
241,abuse
40156,abuse
17494,abuse
1623,abuse
33364,abuse
20763,abuse
43344,abuse
2168,abuse
15356,abuse
54109,abuse
14215,abuse
65754,abuse
76726,abuse
59421,abuse
85542,abuse
167305,abuse
52315,abuse
319079,abuse
125990,abuse
212753,abuse
212753,abuse
61294,abuse
58129,abuse
113653,abuse
11929,abuse
63945,abuse
16235,abuse
28000,abuse
219,abuse
14313,abuse
55785,abuse
44246,abuse
11929,abuse
1957,abuse
12432,abuse
112949,abuse
85350,abuse
155128,abuse
371446,abuse
31677,abuse
264656,abuse
7340,abuse
39867,abuse
232175,abuse
42984,abuse
123772,abuse
46106,abuse
63825,abuse
94363,abuse
319975,abuse
336744,abuse
211086,abuse
11929,abuse
28313,abuse
31439,abuse
25066,abuse
41653,abuse
819,abuse
16235,abuse
1598,abuse
1813,abuse
9454,abuse
309,abuse
33278,abuse
745,abuse
78133,abuse
480,abuse
9555,abuse
5062,abuse
322,abuse
4377,abuse
10949,abuse
1660,abuse
104193,abuse
11171,abuse
257,abuse
17,abuse
219,abuse
442,abuse
5956,abuse
14748,abuse
10842,abuse
14349,abuse
9539,abuse
37903,abuse
14173,abuse
28355,abuse
51423,abuse
53445,abuse
118424,abuse
169813,abuse
157847,abuse
314365,abuse
319995,abuse
266058,abuse
362057,abuse
362057,abuse
67740,abuse
74727,abuse
294368,abuse
397514,abuse
381288,abuse
81556,abuse
393732,abuse
10917,abuse
11618,abuse
70875,abuse
257,abuse
54546,abuse
51608,abuse
110415,abuse
61025,abuse
68256,abuse
100894,abuse
42914,abuse
114444,abuse
110115,abuse
161303,abuse
80992,abuse
41843,abuse
30815,abuse
16161,abuse
20763,abuse
73567,abuse
76203,abuse
112878,abuse
404604,abuse
3526,abuse
369834,abuse
15940,abuse
9999,abuse
4011,abuse
7509,abuse
11465,abuse
89581,abuse
13403,abuse
32615,abuse
60534,abuse
153652,abuse
250745,abuse
8224,abuse
2260,abuse
73856,abuse
257258,abuse
36245,abuse
59201,abuse
72026,abuse
76758,abuse
1279,abuse
167161,abuse
430448,abuse
430448,abuse
11171,abuse
2652,abuse
7980,abuse
158939,abuse
316761,abuse
819,abuse
311,abuse
617,abuse
267,abuse
506,abuse
309,abuse
1923,abuse
15940,abuse
8216,abuse
9357,abuse
64,abuse
4241,abuse
2260,abuse
14282,abuse
322,abuse
504,abuse
140,abuse
1418,abuse
27217,abuse
546,abuse
34581,abuse
219,abuse
15822,abuse
14359,abuse
73861,abuse
27297,abuse
10356,abuse
50837,abuse
34023,abuse
232175,abuse
89351,abuse
95375,abuse
158939,abuse
74903,abuse
